name,atk,def,HP,MP
Aim,25,15,90,46
Notu,12,20,120,221
Horo,35,11,95,109
Gae,18,12,70,54
Yee,35,25,110,78
You,28,18,95,16
Mother,26,12,105,34
Father,33,19,90,170
Sihum,18,12,90,79
Jola,22,12,89,75
Hard,24,13,97,57
Student12,30,17,120,65
Student13,15,20,80,140
Student14,28,12,100,110
Student15,22,15,90,60
Student16,35,18,130,50
Student17,20,14,95,90
Student18,26,16,110,130
Student19,31,20,120,100
Student20,24,15,85,45
Student21,19,12,75,80
Student22,27,18,105,55
Student23,33,22,140,160
Student24,21,14,90,95
Student25,25,16,100,70
Student26,29,19,115,120
Student27,18,13,80,40
Student28,32,21,135,150
Student29,23,15,95,65
Student30,30,17,110,90
Student31,26,14,100,55
Student32,34,23,125,135
Student33,20,12,85,50
Student34,28,18,105,75
Student35,22,15,90,60
Student36,31,20,120,110
Student37,19,13,80,45
Student38,25,16,95,70
Student39,33,21,130,140
Student40,21,14,88,60
Student41,27,17,102,85
Student42,24,15,98,75
Student43,30,19,115,100
Student44,18,12,78,55
Student45,26,16,107,80
Student46,29,20,120,110
Student47,23,14,92,65
Student48,32,22,130,150
Student49,20,13,85,50
Student50,28,18,108,90
